rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
69,203497,Rudy Gobert,450,445,315,293.956,75,1,491,70.78651685393258,66.05752808988764,4.728988764044942,91.64969450101833
70,1630168,Onyeka Okongwu,702,391,233,214.554,66,8,859,59.59079283887468,54.87314578005115,4.717647058823523,81.72293364377182
71,1642962,Drake Powell,316,152,85,78.05900000000001,54,5,358,55.921052631578945,51.35460526315791,4.566447368421038,88.26815642458101
72,1642851,Kon Knueppel,932,366,211,194.621,74,7,1084,57.650273224043715,53.175136612021866,4.475136612021849,85.97785977859779
73,1630170,Devin Vassell,660,274,147,134.867,61,6,755,53.64963503649635,49.22153284671533,4.428102189781022,87.41721854304636
74,1630180,Saddiq Bey,849,480,258,236.95499999999998,67,5,967,53.75,49.365625,4.384374999999999,87.79731127197518
75,1629632,Coby White,535,257,133,121.95100000000001,43,6,623,51.750972762645915,47.451750972762646,4.299221789883269,85.87479935794542
76,1641705,Victor Wembanyama,959,642,379,351.884,59,5,1080,59.034267912772584,54.81059190031153,4.2236760124610555,88.79629629629629
77,1629636,Darius Garland,591,315,167,153.813,43,2,672,53.01587301587302,48.829523809523806,4.186349206349213,87.94642857142857
78,203924,Jerami Grant,586,293,157,144.734,48,9,730,53.58361774744027,49.39726962457338,4.186348122866889,80.27397260273973
79,203114,Khris Middleton,479,311,149,136.035,61,2,540,47.90996784565916,43.741157556270096,4.168810289389064,88.70370370370371
80,1627759,Jaylen Brown,1384,1013,549,507.039,68,3,1543,54.19545903257651,50.05320829220138,4.142250740375125,89.6953985742061
81,1629628,RJ Barrett,731,473,278,258.495,54,3,816,58.77378435517971,54.65010570824524,4.123678646934465,89.58333333333333
82,1628404,Josh Hart,535,317,185,171.983,63,3,592,58.359621451104104,54.25331230283911,4.106309148264991,90.37162162162163
83,1630560,Cam Thomas,408,255,127,116.575,40,2,460,49.80392156862745,45.71568627450981,4.088235294117645,88.69565217391305
84,1628386,Jarrett Allen,467,458,300,281.391,54,2,528,65.50218340611353,61.43908296943232,4.063100436681211,88.4469696969697
85,1626171,Bobby Portis,704,423,220,202.938,66,1,750,52.009456264775416,47.97588652482269,4.033569739952725,93.86666666666666
86,1628989,Kevin Huerter,535,238,153,143.46,65,4,596,64.28571428571429,60.27731092436975,4.008403361344541,89.76510067114094
87,201935,James Harden,988,480,242,222.887,64,6,1123,50.416666666666664,46.43479166666667,3.981874999999995,87.9786286731968
88,1630162,Anthony Edwards,1166,677,377,350.05100000000004,60,1,1231,55.68685376661743,51.70620384047268,3.98064992614475,94.71974004874086
89,1628960,Grayson Allen,569,172,94,87.364,48,3,667,54.651162790697676,50.79302325581395,3.858139534883726,85.30734632683658
90,1641730,Noah Clowney,590,217,114,105.833,63,3,631,52.534562211981566,48.77096774193548,3.763594470046087,93.50237717908082
91,1642285,Cam Spencer,489,200,100,92.61200000000001,66,6,556,50.0,46.306000000000004,3.6939999999999955,87.94964028776978
92,1628963,Marvin Bagley III,363,314,206,194.436,57,2,411,65.60509554140127,61.92229299363058,3.6828025477706916,88.32116788321167
93,1629645,Kevin Porter Jr.,448,322,171,159.911,35,3,514,53.1055900621118,49.661801242236024,3.4437888198757776,87.15953307392996
94,1631170,Jaime Jaquez Jr.,762,602,336,315.297,70,5,915,55.81395348837209,52.374916943521605,3.439036544850488,83.27868852459017
95,1630596,Evan Mobley,791,587,379,358.85,63,2,859,64.5655877342419,61.132879045996596,3.432708688245306,92.0838183934808
96,1630611,Gui Santos,435,224,144,136.326,62,2,460,64.28571428571429,60.85982142857142,3.4258928571428697,94.56521739130434
97,201950,Jrue Holiday,571,286,150,140.704,44,9,709,52.44755244755245,49.1972027972028,3.250349650349648,80.53596614950635
98,1628976,Wendell Carter Jr.,538,341,211,200.48,70,8,637,61.87683284457478,58.79178885630498,3.0850439882697955,84.45839874411303
