rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
20,1641730,Noah Clowney,631,28,9,29,16,12.350999999999999,55.172413793103445,42.58965517241379,12.582758620689653
21,1630573,Sam Hauser,601,29,11,24,15,12.059000000000001,62.5,50.24583333333334,12.254166666666663
22,1628978,Donte DiVincenzo,835,26,9,24,14,11.076,58.333333333333336,46.150000000000006,12.18333333333333
23,1631119,Jaylin Williams,352,19,4,16,9,7.051,56.25,44.06875,12.181249999999999
24,1630245,Ayo Dosunmu,747,25,13,38,22,17.416,57.89473684210526,45.83157894736843,12.063157894736833
25,1642285,Cam Spencer,556,39,19,68,39,30.864,57.35294117647059,45.38823529411765,11.964705882352938
26,1631248,Baylor Scheierman,333,21,10,26,15,11.927,57.69230769230769,45.87307692307692,11.81923076923077
27,1628989,Kevin Huerter,596,33,9,38,22,17.580000000000002,57.89473684210526,46.26315789473685,11.63157894736841
28,1631172,Ousmane Dieng,398,29,15,47,27,21.553,57.4468085106383,45.857446808510645,11.589361702127654
29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
30,1630200,Tre Jones,617,32,8,54,32,26.061,59.25925925925926,48.26111111111111,10.998148148148147
31,203897,Zach LaVine,547,29,7,28,15,11.937,53.57142857142857,42.63214285714286,10.93928571428571
32,1628975,Jevon Carter,307,23,12,19,10,7.974,52.63157894736842,41.96842105263158,10.663157894736841
33,1630643,Jay Huff,611,14,7,14,9,7.52,64.28571428571429,53.714285714285715,10.571428571428577
34,1630538,Bones Hyland,468,17,15,14,7,5.523,50.0,39.449999999999996,10.550000000000004
35,203954,Joel Embiid,697,25,13,142,78,63.077000000000005,54.929577464788736,44.42042253521127,10.509154929577463
36,1631170,Jaime Jaquez Jr.,915,48,22,101,57,46.563,56.43564356435643,46.1019801980198,10.33366336633663
37,1630557,Corey Kispert,394,13,5,15,8,6.4670000000000005,53.333333333333336,43.11333333333334,10.219999999999999
38,204001,Kristaps Porziņģis,388,24,7,54,28,22.65,51.851851851851855,41.94444444444444,9.907407407407412
39,1629060,Rui Hachimura,597,41,20,71,40,33.228,56.33802816901409,46.800000000000004,9.538028169014083
40,1630249,Vít Krejčí,430,18,9,20,12,10.102,60.0,50.510000000000005,9.489999999999995
41,1628415,Dillon Brooks,959,35,21,164,87,71.548,53.048780487804876,43.62682926829268,9.421951219512195
42,202699,Tobias Harris,659,44,15,111,63,52.565,56.75675675675676,47.35585585585586,9.4009009009009
43,1642844,Dylan Harper,656,41,19,55,31,25.889,56.36363636363637,47.07090909090909,9.292727272727276
44,203935,Marcus Smart,476,32,15,38,19,15.526,50.0,40.857894736842105,9.142105263157895
45,1626181,Norman Powell,895,40,14,70,36,29.621,51.42857142857143,42.315714285714286,9.112857142857145
46,1630314,Brandon Williams,617,33,23,48,26,21.646,54.166666666666664,45.09583333333333,9.070833333333333
47,201142,Kevin Durant,1376,57,21,334,181,151.26999999999998,54.191616766467064,45.29041916167664,8.901197604790426
48,203114,Khris Middleton,540,36,24,85,45,37.477,52.94117647058823,44.09058823529411,8.850588235294119
49,1631099,Keegan Murray,300,12,11,50,26,21.589,52.0,43.17799999999999,8.82200000000001
50,1629655,Daniel Gafford,316,12,8,9,6,5.209,66.66666666666667,57.87777777777777,8.788888888888899
51,1628991,Jaren Jackson Jr.,719,38,10,147,75,62.486000000000004,51.02040816326531,42.50748299319728,8.51292517006803
52,1630696,Dru Smith,325,21,8,28,15,12.618,53.57142857142857,45.06428571428571,8.50714285714286
53,202696,Nikola Vučević,799,48,9,127,71,60.527,55.90551181102362,47.65905511811023,8.246456692913391
