rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
80,1630702,Jaden Hardy,429,26,11,46,21,18.856,45.65217391304348,40.99130434782609,4.660869565217389
81,1629028,Deandre Ayton,601,42,17,110,60,54.893,54.54545454545455,49.902727272727276,4.642727272727271
82,1642345,Oso Ighodaro,366,28,17,44,25,23.024,56.81818181818182,52.32727272727273,4.490909090909092
83,1626181,Norman Powell,895,40,14,98,44,39.68,44.89795918367347,40.48979591836735,4.408163265306122
84,1630560,Cam Thomas,460,28,13,114,52,47.024,45.6140350877193,41.24912280701754,4.364912280701759
85,1630173,Precious Achiuwa,598,29,18,61,33,30.376,54.09836065573771,49.79672131147541,4.301639344262298
86,2544,LeBron James,919,36,23,140,61,55.016000000000005,43.57142857142857,39.29714285714286,4.2742857142857105
87,1629023,P.J. Washington,658,26,19,55,28,25.708000000000002,50.90909090909091,46.74181818181818,4.167272727272724
88,1630166,Deni Avdija,1065,35,21,81,39,35.635000000000005,48.148148148148145,43.99382716049383,4.154320987654316
89,202685,Jonas Valančiūnas,390,45,9,108,57,52.516,52.77777777777778,48.62592592592592,4.151851851851859
90,1630573,Sam Hauser,601,29,11,37,19,17.472,51.351351351351354,47.22162162162162,4.129729729729732
91,201950,Jrue Holiday,709,32,17,81,38,34.672,46.91358024691358,42.80493827160494,4.108641975308643
92,1642875,Maxime Raynaud,671,36,27,113,60,55.631,53.097345132743364,49.230973451327436,3.8663716814159272
93,1630194,Paul Reed,339,24,9,38,21,19.552999999999997,55.26315789473684,51.45526315789473,3.8078947368421154
94,1629661,Cameron Johnson,475,29,12,51,24,22.067,47.05882352941177,43.26862745098039,3.7901960784313786
95,1642848,Tre Johnson,647,39,19,119,56,51.616,47.05882352941177,43.37478991596639,3.6840336134453793
96,1630596,Evan Mobley,859,41,15,116,57,52.833999999999996,49.13793103448276,45.54655172413793,3.591379310344834
97,1630162,Anthony Edwards,1231,42,19,198,91,84.23599999999999,45.95959595959596,42.543434343434335,3.4161616161616237
98,1630559,Austin Reaves,762,33,14,106,50,46.379000000000005,47.16981132075472,43.753773584905666,3.416037735849052
99,1629014,Anfernee Simons,648,36,14,100,44,40.631,44.0,40.631,3.3689999999999998
100,1626162,Kelly Oubre Jr.,544,20,14,51,26,24.340999999999998,50.98039215686274,47.727450980392156,3.2529411764705856
101,1642377,Jaylen Wells,698,44,21,97,45,41.928,46.391752577319586,43.22474226804123,3.1670103092783535
102,1628969,Mikal Bridges,963,52,25,160,78,73.17,48.75,45.73125,3.018749999999997
103,1628386,Jarrett Allen,528,33,15,62,33,31.303,53.225806451612904,50.48870967741936,2.737096774193546
104,202331,Paul George,513,24,13,100,45,42.295,45.0,42.295,2.7049999999999983
105,1627759,Jaylen Brown,1543,46,25,317,145,136.524,45.74132492113565,43.06750788643533,2.6738170347003205
106,203897,Zach LaVine,547,29,7,91,37,34.591,40.65934065934066,38.012087912087914,2.647252747252743
107,1641718,Keyonte George,881,42,11,166,73,68.606,43.975903614457835,41.3289156626506,2.6469879518072332
108,1631096,Chet Holmgren,779,49,16,115,56,52.992,48.69565217391305,46.08,2.6156521739130483
109,1642262,Cody Williams,509,20,14,53,25,23.656,47.16981132075472,44.633962264150945,2.535849056603773
110,1630217,Desmond Bane,1205,53,26,164,72,67.868,43.90243902439025,41.382926829268285,2.519512195121962
111,1631157,Ryan Rollins,1030,51,19,162,75,71.021,46.2962962962963,43.840123456790124,2.4561728395061735
112,1642273,Kyshawn George,577,34,12,103,46,43.55200000000001,44.66019417475728,42.28349514563107,2.3766990291262076
113,1630558,Davion Mitchell,534,32,14,47,23,21.892000000000003,48.93617021276596,46.57872340425533,2.3574468085106304
114,1629675,Naz Reid,871,39,17,76,32,30.293,42.10526315789474,39.859210526315785,2.246052631578955
115,203497,Rudy Gobert,491,18,9,23,14,13.504,60.869565217391305,58.713043478260865,2.15652173913044
116,1629008,Michael Porter Jr.,958,42,9,155,66,62.815000000000005,42.58064516129032,40.52580645161291,2.054838709677412
117,1630552,Jalen Johnson,1228,57,13,252,116,111.055,46.03174603174603,44.06944444444444,1.9623015873015888
118,202691,Klay Thompson,728,39,19,89,37,35.513000000000005,41.57303370786517,39.90224719101124,1.67078651685393
119,1627936,Alex Caruso,300,12,3,12,6,5.809,50.0,48.40833333333333,1.5916666666666686
120,1642265,Rob Dillingham,412,38,9,72,33,31.905,45.833333333333336,44.3125,1.5208333333333357
121,203994,Jusuf Nurkić,358,23,6,47,24,23.293000000000003,51.06382978723404,49.55957446808511,1.5042553191489318
122,1631097,Bennedict Mathurin,677,40,9,150,64,61.899,42.666666666666664,41.266,1.400666666666666
123,1630168,Onyeka Okongwu,859,46,10,77,35,34.024,45.45454545454545,44.18701298701299,1.2675324675324617
124,203484,Kentavious Caldwell-Pope,366,33,9,77,35,34.079,45.45454545454545,44.25844155844156,1.1961038961038923
125,1629638,Nickeil Alexander-Walker,1195,62,11,152,67,65.30199999999999,44.078947368421055,42.96184210526315,1.117105263157903
126,201935,James Harden,1123,42,20,115,50,48.839999999999996,43.47826086956522,42.469565217391306,1.0086956521739125
127,1630567,Scottie Barnes,1123,52,27,232,110,107.667,47.41379310344828,46.408189655172414,1.0056034482758633
128,1642281,Jaylon Tyson,670,33,13,51,26,25.554,50.98039215686274,50.10588235294117,0.8745098039215691
129,1628370,Malik Monk,632,35,19,109,49,48.102000000000004,44.95412844036697,44.13027522935781,0.8238532110091654
130,1628401,Derrick White,1108,50,22,184,81,79.564,44.02173913043478,43.24130434782609,0.7804347826086939
131,1631221,Collin Gillespie,842,39,26,107,45,44.32899999999999,42.05607476635514,41.42897196261682,0.6271028037383175
132,1629012,Collin Sexton,742,47,11,100,45,44.375,45.0,44.375,0.625
133,1642851,Kon Knueppel,1084,57,14,112,54,53.516,48.214285714285715,47.78214285714285,0.43214285714286405
134,1630568,Luka Garza,357,22,10,33,19,18.88,57.57575757575758,57.21212121212121,0.36363636363636687
135,1630183,Jaden McDaniels,809,44,23,125,56,55.624,44.8,44.4992,0.3007999999999953
136,1642276,Kel'el Ware,649,31,10,49,27,26.883,55.10204081632653,54.86326530612244,0.2387755102040856
137,1630311,Pat Spencer,436,30,17,71,31,30.868,43.66197183098591,43.476056338028165,0.18591549295774712
138,1629630,Ja Morant,322,18,2,98,42,41.828,42.857142857142854,42.68163265306123,0.17551020408162543
139,1627780,Gary Payton II,415,18,5,18,11,10.98,61.111111111111114,61.0,0.11111111111111427
140,1641705,Victor Wembanyama,1080,44,19,186,77,76.837,41.39784946236559,41.31021505376344,0.087634408602149
141,1642383,Walter Clayton Jr.,461,26,14,52,24,23.985,46.15384615384615,46.125,0.0288461538461533
142,1629628,RJ Barrett,816,30,15,70,29,28.997999999999998,41.42857142857143,41.425714285714285,0.002857142857145334
143,1631260,AJ Green,618,23,6,31,13,13.003,41.935483870967744,41.94516129032258,-0.009677419354837014
144,203903,Jordan Clarkson,526,34,15,70,29,29.061,41.42857142857143,41.51571428571428,-0.08714285714285097
145,1641711,Gradey Dick,383,28,15,41,19,19.052999999999997,46.34146341463415,46.470731707317064,-0.12926829268291584
146,1628976,Wendell Carter Jr.,637,47,17,88,45,45.131,51.13636363636363,51.285227272727276,-0.14886363636364308
147,1642962,Drake Powell,358,27,17,48,22,22.115000000000002,45.833333333333336,46.072916666666664,-0.2395833333333286
148,1642267,Bub Carrington,741,48,29,121,52,52.291,42.97520661157025,43.21570247933884,-0.2404958677685869
149,1631323,Simone Fontecchio,470,11,8,11,6,6.03,54.54545454545455,54.81818181818182,-0.2727272727272734
150,1630598,Aaron Wiggins,536,29,9,48,22,22.219,45.833333333333336,46.28958333333333,-0.45624999999999716
151,1642259,Alex Sarr,656,32,15,89,40,40.416,44.943820224719104,45.41123595505617,-0.4674157303370663
152,1631105,Jalen Duren,803,29,13,46,23,23.252,50.0,50.54782608695652,-0.547826086956519
153,1642266,Ja'Kobe Walter,404,16,10,20,8,8.141,40.0,40.705,-0.7049999999999983
154,1628404,Josh Hart,592,36,20,65,30,30.493000000000002,46.15384615384615,46.91230769230769,-0.758461538461539
155,1630703,Scoot Henderson,342,15,12,27,12,12.211,44.44444444444444,45.22592592592593,-0.7814814814814852
